end_country,flights,month
XK,70,202003
LY,70,202003
MR,63,202003
PY,62,202003
AX,54,202003
GG,47,202003
TC,43,202003
CY,41,202003
PM,33,202003
ME,30,202003
GN,24,202003
AZ,22,202003
TJ,20,202003
TZ,18,202003
PS,11,202003
FO,9,202003
SZ,8,202003
BN,7,202003
GP,6,202003
EC,3,202003
AI,3,202003
NC,1,202003
LB,1,202003
KW,1,202003
EG,1,202003
US,1289984,202002
AU,85567,202002
IN,81569,202002
DE,78400,202002
GB,74701,202002
CA,65727,202002
ES,55068,202002
JP,53487,202002
FR,52913,202002
BR,52400,202002
IT,51787,202002
RU,47554,202002
TR,44377,202002
TH,35447,202002
MY,31683,202002
CN,26162,202002
AE,24271,202002
NZ,23750,202002
KR,22150,202002
PH,21173,202002
SA,20970,202002
CH,19359,202002
NO,19017,202002
CO,18779,202002
NL,16193,202002
SE,15522,202002
SG,14779,202002
PL,14323,202002
TW,14241,202002
PT,13491,202002
DK,13108,202002
BE,12858,202002
ID,12682,202002
GR,11744,202002
PE,11626,202002
VN,11299,202002
AT,11180,202002
HK,10542,202002
MX,10388,202002
QA,9986,202002
IE,9625,202002
AR,9614,202002
FI,9099,202002
MA,6469,202002
ZA,6095,202002
RO,5714,202002
CZ,4917,202002
HU,4743,202002
UA,4624,202002
PR,4458,202002
DO,4079,202002
DZ,4066,202002
KZ,3719,202002
RS,3696,202002
PK,3663,202002
BH,3513,202002
IL,3260,202002
LV,2890,202002
CR,2770,202002
IR,2765,202002
LU,2619,202002
LK,2478,202002
BY,2336,202002
LT,2129,202002
MT,1970,202002
HR,1947,202002
BG,1907,202002
IS,1897,202002
BO,1860,202002
BD,1751,202002
BA,1705,202002
BS,1616,202002
BB,1519,202002
PF,1245,202002
EE,1203,202002
SN,1161,202002
GE,1124,202002
OM,1028,202002
UZ,990,202002
TN,913,202002
KH,843,202002
TT,823,202002
AM,782,202002
GT,675,202002
SI,674,202002
LA,644,202002
CY,572,202002
BM,571,202002
VI,551,202002
CU,536,202002
LC,517,202002
UY,464,202002
NP,458,202002
JE,440,202002
VC,423,202002
GD,390,202002
VG,383,202002
EC,381,202002
LB,364,202002
GY,358,202002
SK,342,202002
EG,342,202002
IM,326,202002
AL,301,202002
KP,277,202002
MM,272,202002
